gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
168292604126,b,23,Rg8,0,,-745,162,-583,-162,direct,true,allow,2.2,0,sound,0
168292604126,b,27,f2,5,g2,-1800,721,-1079,-721,discovered,true,offer,0,1,sound,0
168292604126,b,28,f1=Q+,9,f1,-2042,91,-1951,-91,promotion,true,offer,0,0,sound,0
168271440076,w,6,Qd5,0,,9,155,-134,143,direct,false,allow,5,0,sound,0
168271440076,w,7,Qxc5,-2.2,e4,419,6,425,-6,discovered,true,allow,0,5,necessary,1
168271440076,w,11,Nc3,0,,-715,807,92,-807,direct,true,allow,9,0.2,sound,0
168271440076,w,18,Bxd5,0,,-711,120,-591,-120,direct,true,allow,3,0,sound,0
168271440076,w,19,Re1,3.2,d5,-712,-33,-807,95,discovered,false,offer,0,0,sound,0
168237804632,b,19,Nf4+,3,f4,335,370,705,-370,direct,true,offer,0,0,strong,0
168237804632,b,30,Rxc5,-3.2,,1786,-22,1764,22,direct,true,allow,3.2,0,necessary,0
168237804632,b,32,Qf4+,9,f4,37,99893,1244,-1207,direct,true,offer,0,0,strong,0
168237747146,w,5,d4,1,d4,-709,197,-512,-197,direct,true,allow,5.8,0,sound,0
168197472348,b,22,Bxf4,3.2,f4,-118,546,428,-546,direct,true,offer,0,0,sound,0
168131912304,b,6,Bg4,3.2,g4,-541,535,-6,-535,direct,true,offer,0,0,sound,0
168131912304,b,10,Bxf5,3.2,f5,128,99862,99990,-99862,direct,false,offer,0,0,strong,0
168131912304,b,11,Bxg4,3.2,g4,-192,308,116,-308,direct,true,offer,0,0,sound,0
168131912304,b,13,Nf2,3,f2,-207,346,134,-341,direct,false,offer,0,0,sound,0
168131912304,b,14,Ng4,3,g4,-446,250,-196,-250,direct,true,offer,0,0,sound,0
168131912304,b,16,O-O-O,1,f7,-433,538,105,-538,discovered,true,allow,3,0,sound,0
168131912304,b,17,Bc5,0,,-747,556,-191,-556,direct,true,allow,8,3,sound,0
168131912304,b,18,Bxd4,0,,-749,-5,,,direct,true,allow,0,3,sound,0
168090530716,b,12,Qxh4+,9,h4,-788,712,-76,-712,direct,true,offer,0,0,sound,0
168090530716,b,19,Qxb2,0,,988,60,1048,-60,direct,false,allow,5,0,necessary,0
168090530716,b,20,Nc6,3,c6,1278,116,1394,-116,direct,false,offer,0,0,necessary,0
168090530716,b,21,O-O-O,1,f7,792,591,1383,-591,discovered,true,allow,0,3,strong,0
168090530716,b,31,e5+,3.2,d5,2418,97512,4842,-2424,discovered,false,offer,0,0,strong,0
168090530716,b,35,Nxa6,-4,b3,1043,98917,99960,-98917,discovered,true,allow,4,0,strong,0
168052101366,w,21,Ng5,2,g5,922,368,1290,-368,direct,false,offer,0,0,strong,0
168052101366,w,31,Nxh6,0,,577,886,1463,-886,direct,true,allow,9,0,strong,0
168052101366,w,32,Bg5+,3.2,g5,227,314,541,-314,direct,true,offer,0,0,strong,0
168046245366,w,14,Rxe5,-3,,-451,111,-340,-111,direct,true,allow,3.2,0,sound,0
168046245366,w,17,Rxe7+,5,e7,-717,194,-523,-194,direct,true,offer,0,0,sound,0
168042736326,w,5,Qg5,0,,-533,28,-505,-28,direct,false,allow,3.2,0,sound,0
168042736326,w,12,Nh4,3,h4,-619,83,-536,-83,direct,true,offer,0,0,sound,0
168042736326,w,17,Bxd6,3.2,d6,-1030,282,-748,-282,direct,true,offer,5,0,sound,0
168042736326,w,18,Nc3,0,,-1057,-9,-1066,9,direct,true,allow,0,2,sound,0
168042736326,w,20,Nxe4,6,d5,-1424,282,-1142,-282,discovered,true,offer,5,0,sound,0
168042736326,w,28,Nd7,3,d7,-99990,100205,215,-100205,direct,false,offer,0,0,sound,0
167999297428,b,5,exd4,0,,-552,1180,628,-1180,direct,true,allow,9,0,sound,0
167999297428,b,9,Bxc3+,3.2,c3,-843,168,-675,-168,direct,true,offer,0,0,sound,0
167999297428,b,16,Bxh5,3.2,h5,-304,414,110,-414,direct,true,offer,0,0,sound,0
167999297428,b,18,Ne2+,3,e2,-578,302,-276,-302,direct,true,offer,0,0,sound,0
167999297428,b,33,g2,5,h2,-788,547,-241,-547,discovered,false,offer,0,0,sound,0
167999297428,b,44,Ke2,5,g4,-757,44,-735,-22,discovered,true,offer,0,0,sound,0
167921996910,b,14,Bxf3,0.2,f3,-451,927,476,-927,direct,true,allow,5.8,0,sound,0
167921996910,b,15,Rxd7,-3.2,,-460,14,-540,80,direct,true,allow,0,3.2,sound,0
167921996910,b,16,dxc3,1,c3,-468,1,-478,10,direct,false,allow,3,0,sound,0
167921996910,b,17,Nd5,3,d5,-596,100,-496,-100,direct,false,offer,0,3,sound,0
167921996910,b,20,Rd8,1,h7,-586,51,-535,-51,discovered,false,allow,5,0,sound,0
167921996910,b,25,Rf2,0,,-566,42,-524,-42,direct,true,allow,3,0,sound,0
167921996910,b,26,d5,1,d5,-99990,99430,-560,-99430,direct,false,allow,5,0,sound,0
167918519140,w,21,Rg1,2,g1,682,79,761,-79,direct,true,offer,0,0,necessary,0
167900365198,w,8,Ba4,3.2,a4,-526,510,-16,-510,direct,true,offer,0,0,sound,0
167900365198,w,21,Rxd2,-9,,-824,-23,-1014,190,direct,true,allow,3,0,sound,0
167900365198,w,22,Rd6,0,,-1130,280,-850,-280,direct,true,allow,5,0,sound,0
167900365198,w,36,Nd4,3,d4,-99970,99109,-861,-99109,direct,true,offer,0,0,sound,0
167868504082,b,7,Qb5,9,b5,-564,1078,514,-1078,direct,true,offer,0,0,sound,0
167868438132,w,11,f4,5.8,d1,-727,727,0,-727,discovered,true,offer,0,0,sound,0
167810983214,b,7,Bb6,0,,-451,439,-12,-439,direct,true,allow,3,0,sound,0
167810983214,b,14,Bd4,3.2,d4,-595,346,-249,-346,direct,true,offer,0,0,sound,0
167806559266,w,14,Nxe6,0,,884,99086,99970,-99086,direct,false,allow,5,0,strong,0
167781130750,b,13,Nxh5,3,h5,-353,301,-52,-301,direct,true,offer,0,0,sound,0
167781130750,b,23,Qxe8,5.8,e8,-726,175,-551,-175,direct,true,offer,0,0,sound,0
167780918068,w,9,Bxc6+,3.2,c6,-365,347,-18,-347,direct,true,offer,0,0,sound,0
167780918068,w,13,Kc2,0,,-743,88,-655,-88,direct,false,allow,5,0,sound,0
167780918068,w,19,Kc2,0,,-811,-19,,,direct,true,allow,3.2,0,sound,0
167780918068,w,25,Kd2,0,,-1075,22,-1225,150,direct,true,allow,5,0,sound,0
167779992358,b,3,Be7,0,,-635,112,-523,-112,direct,true,allow,5,0,sound,0
167779992358,b,4,Bf6,0,,-765,142,-623,-142,direct,true,allow,3,0,sound,0
167779992358,b,17,Qb1+,3.2,e2,756,50,806,-50,discovered,true,offer,0,0,necessary,0
167779992358,b,23,Nd4+,2,d4,806,137,943,-137,direct,true,offer,0,0,strong,0
